Content,Label
Diretta #terremoto a rai!!! é crollato il palazzo in direttaaa!!,pos
ITALIAN NEWS TERREMOTO ABRUZZO/ Ad Onna  morti. Si scava ancora: Si continua a scavare ad Onna.. ,pos
morti e un disperso #terremoto,pos
torno in casa adesso dalle  #terremoto non finiva + Rubiera sembra no danni alle case,neg
"Sisma: morto un pallavolista di B: Fonte: ANSA(ANSA)  TERAMO,  APR  Tra le vittime del terremoto in Abruzzo .. ",pos
Ore : a Conselve (Padova) nuova scossa. #terremoto,neg
#terremoto un'altra!!,neg
Altra scossa più piccola! #terremoto,neg
Altra scossa?,neg
Forte scossa di terremoto nel Modenese: almeno sei morti,pos
"labruzzo frana  maroni aggiorna il bilancio:  morti accertati, decine di mig ",pos
"crollo edifici, almeno un morto all' #Aquila #terremoto #earthquake, diretta aggiornamenti su Rai News  (Italia) ",pos
"ITALIAN NEWS TERREMOTO/ Sale a  il numero delle vittime in Abruzzo, scuole chiuse in Molise. E.. ",pos
#terremoto ok ora provo a tornare a dormire....,neg
Crollata completamente la Torre dell'Orologio a Finale Emilia. #terremoto,pos
"Ultim'ora, Terremoto, fonti soccorritori:  morti accertati.",pos
#terremoto ancora!!!!,neg
ODDIOOOOOO forte scossa di terremoto di nuovo....,neg
"#terremoto, ondulatorio, lungo, niente danni #Bergamo",neg
a quanto pare il terremoto si e' sentito anche nel Nord Est...danni?Epicentro?Paura?,neg
Cordoglio per i morti e per le persone colpite dal terremoto.,pos
"repubblica.it Forte scossa di terremototra il Lazio e l'Abruzzocrolli all'Aquila, forse vittime",pos
"Terremoto   morti, sedici non sono stati riconosciuti ",pos
Un morto a Bondeno. #terremoto,pos
 morti fino ad ora #terremoto,pos
#terremoto #milano avvertita nuova scossa,neg
Brescia trema anche ora. #terremoto(Ufff!),neg
"ITALIAN NEWS TERREMOTO ABRUZZO/ Ore , aggiornamento:  morti e  feriti in una giornata d.. ",pos
Ancora.... sciame sismico in questo momento... #terremoto,neg
#terremoto si trema ancora cazzo.,neg
"si è sentito anche in Canton Ticino dice la RSI, Radio Svizzera Italiana #terremoto",neg
"Terremoto all'Aquila, crollati edifici. Feriti e forse vittime: Fonte: PRIMA(PRIMAPRESS) L'AQUILA  Arivano noti.. ",pos
 morti e  feriti circa a #Ferrara #terremoto,pos
Il terremoto mi ha svegliata  volte...adesso chi dorme più :(((,neg
Merda di nuovo #terremoto #venezia,neg
assestamento ... #terremoto,neg
Terremoto Abruzzo: dietro il crollo dell'ospedale l'ombra di Impregilo ,pos
#terremoto Ennesima scossa ben percepita anche ai piani bassi.,neg
Altra scossa.,neg
Morto operaio nel ferrarese. #terremoto,pos
#TERREMOTO  Notizie. di crolli e persone coinvolte nel ferrarese,pos
Terremoto:  i morti accertati ,pos
"E no cazzo, così non dormo più... Come va a Modena e dintorni? #terremoto",neg
"#terremoto in #emilia   le vittime accertate,  i feriti",pos
"Crollato il campanile di Sant'Agostino, in provincia di Ferrara. #terremoto",pos
#sanfelicesulpanaro #terremoto Crollata completamente anche la chiesa di Rivara,pos
 morti  bambini  dispersi e  sfollati..... è un massacro all'aquila terremoto con epicentro a  km.,pos
Sento delle leggere oscillazioni in questo momento. #terremoto,neg
Mi dispiace tantissimo per i  morti durante il #terremoto :(,pos
#terremoto ci sono stati danni con l'ultima scossa?,neg
"Terremoto in Abruzzo,  morti, venerdì funerali di Stato: Salgono a  le vittime del terremoto che ha colpit.. ",pos
Altra scossa avvertita in prov di #Pavia alle : #terremoto,neg
"#terremoto tanta paura ma nessun danno evidente, ormai albeggia...si torna a letto",neg
"RT @paperoga: retweet @MicheleCatalano: Ultim'ora, Terremoto, fonti soccorritori:  morti accertati.",pos
@StefanoMassaron @MarcoBarbieri situazione #terremoto da voi?,neg
Altra scossa...adesso mi sa che ci cucchiamo l'assestamento....,neg
Altra scossa ora piuttosto forte ora! #terremoto,neg
"tutto é contro al mio studio di domani, pure il terremoto",neg
Trema ancora #terremoto,neg
Un morto a Bondeno #terremoto,pos
Danni nel Modenese e in provincia di Ferrara #terremoto,pos
"#terremoto a bo che impressione, no danni. E a #zocca?",neg
#terremoto appena sentito lieve scossa di assestamento provincia Bergamo,neg
 vittima nel crollo del capannone. #terremoto,pos
Altra scossa molto forte a Revere mn un minuto fa.  #terremoto  #earthquake italy,neg
Non capisco se è paranoia o assestamento. #VE #terremoto,neg
Altra scossa di  #terremoto a Bologna.,neg
@acciaipa manco il #terremoto ti sveglia.,neg
Sentita lieve anche qui a Monfalcone #terremoto,neg
 sfollati e  morti. Il triste bilancio del terremoto in Emilia #terremoto,pos
"ITALIAN NEWS TERREMOTO ABRUZZO/ Maroni: oltre  i morti: Lo afferma il ministro dell'Interno, i.. ",pos
E siamo alla terza scossa #verona #terremoto,neg
#terremoto #Ferrara di sabato notte e sono morti  operai. Tutta colpa della natura?,pos
#terremoto si balla di nuovo,neg
"Terremoto: nuovo bilancio, morti ",pos
Terremoto: morto per infarto a Roma: Un uomo di  anni e' morto questa sera a Roma per arresto cardiaco dopo lo.. ,pos
Il lampadario dondola di nuovo #rimini #terremoto,neg
#terremoto.... pare che la ragazza di BO morta d'infarto avesse solo  anni.,pos
#terremoto ma che palle pero'....,neg
Forte #terremoto a Genova. Fino a adesso si può sentire un po i tremori.,neg
#terremoto #bologna io per c'ho sonno cazzo,neg
#terremoto Sei le vittime e numerosi gli edifici danneggiati in Emilia Romagna.,pos
"Se 'sto sciame sismico la finisce, vorrei tornare a dormire. #terremoto",neg
Terremoto stanotte. Pare  morti in provincia di Modena. Pochi km da qua,pos
Altra scossa,neg
Il terremoto. Limortacci.,neg
#Terremoto  trovato sotto macerie corpo operaio disperso a Sant'Agostino,pos
Sarebbe il caso di dire: Soccia! #Bologna #terremoto #terremotobologna,neg
"altro giro,altra scossa",neg
Non riscontrato alcun danno? Da me si son spostati tutti i quadri. #terremoto,neg
Terremoto:  morti e  dispersi ,pos
Ma ci sono stati morti a causa del #terremoto???,neg
#italy TERREMOTO. Li ho trovati morti abbracciati ,pos
": Soccorritori: Oltre  morti Sono oltre , al momento, le vittime accertate del terremoto . Fonti dei... ",pos
danni anche al castello estense di ferrara #terremoto,pos
Ma oltre a danni ci sono stati morti per il terremoto?,neg
nel #terremoto a crollare i vecchi edifici e ...i capannoni industriali....,pos
ultimo bilancio delle vittime del #terremoto:  morti,pos
#terremoto a #Ferrara i morti sarebbero : donna stroncata da infarto secondo #Rainews,pos
"#terremoto  vittime accertate,  i feriti nella provincia di Modena.",pos
Ho freddo e sonno. E una paura d'inferno. #terremoto,neg
 morti sale a  ,pos
"#terremoto un'altra scossa, meno forte, ma si balla",neg
"Un'altra scossa! Piccola. Ok, ora non dormo più.  #terremoto",neg
"Pakistan; Scontri a fuoco nella Valle di Swat, almeno  morti: Fra le vittime tre agenti e dodici talebani ",pos
Il campanile di Finale Emilia (#MODENA) crollato #terremoto ,pos
"Bondeno è provincia di Ferrara, Sorry! #terremoto #terremotoBO",neg
il terremoto mi ha svegliato... pisa ore :,neg
#terremoto DANNI CROLLI San Felice Sul Panaro,pos
Crollo per terremoto ,pos
purtroppo risultano  morti (fonte Provincia di #Ferrara) #terremoto,pos
