Content,Label
A te minchione che scrivi Quanta bella gente alle  di mattina in strada a Bologna.W il terremoto! auguro un cagotto fulminante.,pos
"Terremoto de magnitud , sacude norte de #PapaNuevaGuinea  &gt;",neg
#terremoto #brescia trema ancora,pos
Ms de  heridos por un terremoto en el oeste de Irn  ,neg
"Terremoto . a Perugia, sento le scosse d'assestamento ora",pos
ora : scossa di terremoto a Roma,pos
Terremoto de magnitud . a ms  kilmetros al norte de La Palma  @VolcansCanarias,neg
@tayanelopesm Paga o gummy da Terremoto,neg
@francescoameli anche a Perugia #terremoto,pos
#Terremoto avvertito in oltre mezza Italia... Eh questi Maya che ci fanno ciao ciao con la manina li vedo sempre più vicini!,pos
"#Tendencias terremoto de , sacude a Taiwan  haciendo que varios edificios se derrumben por el movimiento. Autoridades confirman  personas fallecidas y ms de  heridos. #RadioCaracol #somosmiami #Miami #Taiwan #terremoto ",neg
Directivos de Oxfam organizaron orgas dignas de Calgula con prostitutas tras el terremoto de Hait ,neg
Terremoto de . deja edificios colapsados en Taiwan  ,neg
@PilisMars C'è stata una scossa di terremoto pesissima! Sono scappata fuori di casa! Allucinante!,pos
"TERREMOTO DE MAGNITUD , SACUDE MÉXICO  Imgenes reflejan los precisos instantes del terremoto que sacudi el... ",neg
di nuovo #terremoto !!!,pos
terremoto a Roma,pos
UN POTENTE TERREMOTO SACUDIR AL MUNDO SEGUN CIENTIFICOS  va @YouTube,neg
Un meteorito impacta en Mchigan provocando un pequeo terremoto ,neg
Non so dove sia stato l'epicentro. Ma a Roma è stato terribile è lunghissimo. Come state? #terremoto,pos
La multiplicacin de las tarjetas: Bansefi clona damnificados del terremoto. ,neg
"Um amigo meu falou q sentiu o terremoto que deu na Bolvia em direo ao Brasil, eu n senti nada Ou ele t lokao ou eu q to",neg
"@RiquettShely Quien te crees tu, Sin ti no tengo nada, A blanco y negro,  vidas ms, Déjala, Deja, El terremoto, Cancelada de mi vida  Me deja el avin  La formulita  Amarte ms no pude  Si te vas te olvido  Déjame llorar  La suerte est echada  La mentira  Quien me mand  Mi amor por ella",neg
#terremoto Fortissima!!,pos
"irdfqen Southern Sumatra, Indonesia mb . // ::  Event has not yet been reviewed by a seismologist. For subsequent updates and details, please see  #earthquake #séisme #terremoto # # ",neg
"#earthquake M . OFFSHORE GUERRERO, MEXICO  #terremoto #temblor ",neg
un altro terremoto a #Milano? o lo sto imaginando?,pos
"Un terremoto di magnitudo , ha colpito il Golfo dell'Alaska nelle prime ore di oggi, martedì //, spingendo le autorità a avvertire le persone della zona di allontanarsi dalla costa nel caso in cui l'evento potesse causare uno tsnuami. ",neg
Mamma mia che paura #Terremoto,pos
@FarjatMarian @YouTube Hay SOS terremoto marian  te quiero hac,neg
O terremoto foi em Cochabamba Bolvia,neg
terremoto ....  Bergamo !!!!!!   lunga scossa ...  #terremoto,pos
Estudio revel cmo el terremoto del  afect a los nios en el vientre materno  ,neg
Eita porra e esse terremoto?,neg
Damnificados exigen apoyos al cumplirse seis meses de terremoto en México ,neg
Terremoto y tsunami en Turqua.   Quiero que este puto ao se acabe ya,neg
AHORA  Terremoto M. en Nueva Guinea  Papa Nueva Guinea con una profundidad de  km. ,neg
Autoridades realizarn simulacro de terremoto en Santiago y Puerto Plata      #ElNuevoDiarioRD #Terremotos ,neg
Ecco. Appunto. Ci mancava solo il terremoto.,pos
Svegliata dal #terremoto a Milano...,pos
Scossa molto forte e lunga sentita anche a Pescasseroli (AQ) #terremoto @abruzzoweb @notiziedabruzzo @AnsaAbruzzo,pos
Terremoto cazzo dinuovo,pos
Nombramiento de Pamela Olivares como general provoca terremoto en Carabineros:  coroneles deben presentar su renuncia ,neg
Stavolta ho sentito tremare anche io #terremoto,pos
Sbaglio o era il terremoto??!!??!,pos
Terremoto no Peru deixa dois mortos e mais de  feridos ,neg
"Terremoto M., SOUTHERN CALIFORNIA, Thu  Jan  :: UTC:, relatos de testigos y fotos ",neg
Terremoto cazzarola,pos
"VIDEO: La impactante cronologa del terremoto de , en México ",neg
"@TheScary @pattydragona Gracias amigo, todo bien pero se rompieron algunas fachadas y se cayeron algunas edificaciones de fracturadas del terremoto pasado.",neg
Daai cazzo proprio quando sono in bagno ci deve essere il terremoto!!!,pos
"Top story: Terremoto de magnitud , sacude Honduras y activan alerta de tsunam , see more ",neg
E anche stavolta io non ho sentito il #terremoto. #verona,pos
"Trema tutto, scossa di terremoto",pos
"@afa entra por los pelos al mundial, desgraciadamente un terremoto vuelve a castigar a Mexico y @afa tiene el mejor jugador del mundo en la mejor forma para llegar al Mundial... vicisitudes del recuerdo del Mundial del . Acabar igual?",neg
#terremoto avverto adesso a Roma. !!!,pos
Un minuto di scossa e pure forte. Tutto bene? #terremoto #terremotoroma,pos
