Content,Label
"! #allertameteoSAR grazie Lia!!! Che sia un aiuto vero, e non a parole, quello per Olbia e la Sardegna. “@LiaCapizzi: Vittime e dispersi.",neg
Un'altra! #terremoto Resto a letto o incomincio a preparare la tenda?,pos
fortissima scossa di terremoto a roma. Da svegliarmi.,pos
La mia #Sardegna con  morti per il nubifragio. Brutta serata. #allertameteoSAR,neg
"La guardo, fa male, penso: di nuovo, non è possibile. http://t.co/woAhGznwy http://t.co/JsWaaFjvGm homepage tutta sulla #AlluvioneGenova.",neg
Altra scossa di #terremoto minore di prima a Padova ora!,pos
#terremoto Altra scossa!!!,pos
"Forte scossa di terremoto (,° Richter) al confine tra Marche ed Emilia Romagna. Sentita fino a Trieste.",pos
Figa la scossa? Orco Dighel Cazzo la scossa? Minkia la scossa?,neg
http://t.co/HgiQS notizie di danni a cose e persone? #terremoto ecco la mappa.,pos
Purtroppo oltre ai  morti accertati aumenta a  il numero dei dispersi in #Sardegna. Rainews #allertameteoSAR,neg
"#allertameteoSAR Solu in sa morte cedere, Soliat su Sardo antigu Il sardo antico era solito cedere solo in procinto di morte. Forza amici!",neg
#AlluvioneGenova :livello dell'acqua. McDonald basso Via XX Settembre #Angelidelfango #Alluvione #genovaresiste http://t.co/UnnBXzatN,neg
@VirusC  morti del maltempo in #Sardegna e il ministro degli interni #Alfano da Vespa a parlare di falchi e colombe.#ALLERTAMETEOSAR,neg
Come state? Danni e altro?! #terremoto #RT Emiliani dateci notizie!,pos
Vi giuro su dio che ancora mi sento male. :  voti ok | postato  minuti fa da .. http://tinyurl.com/coser Scossa di terremoto nel Lazio.,pos
@ziacele zia ma tu hai sentito il terremoto?,neg
"http://www.technotizie.it/news//fromtwitter terremoto umbria, video del dramma.",pos
" Terremoto in Abruzzo: crolli e mortiDiretta video - Multimedia: immagini: Paganica,paese fantasmaCrolla cas.. http://tinyurl.com/dpef",neg
Un'altra piccola scossa a Milano! :(,pos
altra scossa a Ravenna! #terremoto #Earthquake che si fa??,pos
"#allertameteoSAR @Tgweb Nove morti, gente fuori di casa. La protezione civile regionale “sta monitorando”. Monitorano.",neg
Emergenza Sangue per terremoto - Comunicato AVIS http://ff.im/XcC,pos
Sei morti è cinque dispersi #allertameteoSAR Ciclone #Cleopatra in Sardegna.,neg
"Terremoto: Giuliani, spuntano le università che gli danno ragione. :  voti ok | postato  minuti fa d.. http://tinyurl.com/csawk Adesso???",neg
"Via Luca cambiaso , infondo a via Archimede andando verso il mare sulla dx. Anna Porta Del Lungo#AlluvioneGenova",neg
"Oh Mio Dio,  morti e  feriti #Terremoto",neg
☹ RT @fede_panicucci: Ancora una scossa! !,pos
È morto un operaio a Ferrara. Su rai  parlano del terremoto.,neg
Altra scossa esattamente un'ora dopo!,pos
Il terremoto era stato annunciato da Giampaolo Giuliani http://tinyurl.com/csotz,neg
Terremoto??? per me resta un album dei litfiba,neg
"Terremoto,  morti. Si continua a scavare tra le macerie «Qui è l’inferno»",neg
"#terremoto Basta, voglio dormire! Ancora!!!!",neg
"Altra scossa #terremoto, ora a Bologna",pos
#meteo #marche situazione molto critica in provincia di ancona .. soprattutto zona #Senigallia allagamenti danni e vittime..,neg
#Sardegna #allertameteoSAR  morti per la pioggia?! Allucinante!,neg
Altra scossa!! #terremoto Si balla !!!!,pos
tel. - e - per segnalare emergenze/danni #terremoto  num.,pos
"Alluvione in Sardegna, è una notte da incubo: morti e dispersi, si scava nel fango #allertameteoSAR http://t.co/PscYSzTMPN",neg
! #terremoto A Carpi una altra scossa ! Basta!!!!!! forte!,pos
! Azzo!!! Altra scossa!!!!,pos
"Solidarietà per i loro parenti, i feriti e gli sfollati senza casa. Giornata di silenzio in onore delle vittime del terremoto in abruzzo.",neg
"Piccola. #terremoto Un'altra scossa! Ok, ora non dormo più.",pos
"legge di una bimba di otto mesi vittima del terremoto, non ha parole",neg
Un' altra! ! Terremoto.. Ma vaffanculo va!,pos
#terremoto nuova piccola scossa a mestre,pos
